NAAM,ALCOHOL %,BROUWERIJ
Darinckdelver,10.500000,Brouwerij Alvinne
Dark White BBB,4.500000,Brouwerij Fantôme
De BoomgaardFramboise,4.900000,Brouwerij d’Ecaussinnes
de Chokier,7.000000,De ProefBrouwerij
De EyckenBalthazar,9.000000,Brouwerij Alvinne
De Garre Tripel,11.500000,Staminee De Garre (Brouwerij VanSteenberge)
De Graal Blond,6.500000,Brouwerij De Graal
De Graal Dubbel,6.500000,Brouwerij De Graal
De Graal Gember,8.000000,Brouwerij De Graal
De Graal SloCK,6.500000,Brouwerij De Graal
De Graal Tripel,9.000000,Brouwerij De Graal
De Graal Quest,9.000000,Brouwerij De Graal
De GraalTriverius,6.800000,Brouwerij De Graal
De Kavijaks,7.000000,De Dolle Brouwers voor Kaffee Kavijaks
De Koninck,5.200000,Brouwerij De Koninck(Duvel-Moortgat)
De KoninckTriple d’Anvers,8.000000,Brouwerij De Koninck(Duvel-Moortgat)
De Koninck Winter,6.500000,Brouwerij De Koninck(Duvel-Moortgat)
De Maeght vanGottem,6.500000,HuisBrouwerij Sint-Canarus
De Nacht,5.200000,Brouwerij Vissenaken
De Poes,8.000000,Brouwerij De Poes
De RegenboogIJzer,6.000000,Brouwerij De Regenboog
De VerbodenVrucht,8.500000,Brouwerij De Kluis (InBev)
De Vlier X-Mas,8.500000,Brouwerij De Vlier
Deinze Export,4.600000,HuisBrouwerij Sint Canarus voor JCIDeinze en Leiestreek
Delhaize Christmas,9.000000,Affligem Brouwerij
Delhaize Tafelbier Blond,1.500000,Brouwerij Piedbœuf (InBev)
Delhaize Tafelbier Bruin,1.500000,Brouwerij Piedbœuf (InBev)
Delirium argentum 25,7.000000,Brouwerij Huyghe
Delirium Nocturnum,9.000000,Brouwerij Huyghe
Delirium Tremens,9.000000,Brouwerij Huyghe
DeliriumChristmas,10.000000,Brouwerij Huyghe
Delirium Red,8.500000,Brouwerij Huyghe
Delvaux,8.500000,Brouwerij De Kroon
Den Alternatief,5.000000,Brouwerij Het Alternatief
Den Bi3r,9.000000,Brouwerij Den Tseut
Den Drupneuze,8.500000,Brouwerij Den Tseut
Den Herberg Amber,5.000000,Brouwerij Den Herberg
Den Herberg Blond,5.500000,Brouwerij Den Herberg
Den Herberg Bruin,5.500000,Brouwerij Den Herberg
Den Herberg Tarwe,5.000000,Brouwerij Den Herberg
Den Mulder,8.000000,Brouwerij Den Tseut
Den Tits,6.200000,De Proefbrouwerij
Den Tseut,6.500000,Brouwerij Den Tseut
Den Twaalf,12.000000,Brouwerij ‘t Gaverhopke
Den Zytholoog,6.600000,Brouwerij De Graal voorbierfirma Vacas
Den Zwarte Sinjoor,6.700000,Brouwerij het Pakhuis
DendermondeTripel,8.000000,Brouwerij De Block
Dentergems Wit,5.000000,Brouwerij Het Anker
Deo,5.000000,De Oude Maalderij
Deugniet,7.300000,Brouwerij Du Bocq
DeuS,11.500000,Brouwerij Bosteels
Diabolici,8.000000,Groep John Martin
Dikke Mathile,6.000000,Brouwerij Strubbe
Dilleke,4.500000,Brouwerij Angerik
Diöle Ambrée,7.500000,Brasserie des carrières
Diôle Blonde,6.500000,Brasserie des carrières
Dobbel Palm,6.000000,Brouwerij Palm
Dobbelken Amber,6.500000,Brouwerij Strubbe
Dobbelken Bruin,5.000000,Brouwerij Strubbe
Dogabier,6.500000,HuisBrouwerij Sint-Canarus
Dominus Dubbel,6.500000,Group John Martin
Dominus Tripel,8.000000,Group John Martin
Donkere Stoere,8.200000,Brouwerij DijkWaert
Double Bie,6.500000,Brouwerij De Bie
Double de Brabant,6.500000,Groep John Martin
Double EnghienBlonde,7.500000,Brouwerij de Silly
Double EnghienBrune,8.000000,Brouwerij de Silly
Douglas CelticBrown,7.900000,Scottish & Newcastle voorGroep John Martin
Douglas CelticLager,5.000000,Scottish & Newcastle voorGroep John Martin
Douglas CelticRed,7.900000,Scottish & Newcastle voorGroep John Martin
Douglas CelticSuper,7.900000,Scottish & Newcastle voorGroep John Martin
Douglas CelticXXX Strong,12.000000,Scottish & Newcastle voorGroep John Martin
DrongensPlezierke,7.500000,Brouwerij Slaghmuylder
Druïde Blond,6.500000,De ProefBrouwerij voor BrouwerijDruïde
Druïde Bruin,6.500000,De ProefBrouwerij voor BrouwerijDruïde
Druïde Grand Q,8.500000,De ProefBrouwerij voor BrouwerijDruïde
Druivenbier,6.000000,Brouwerij Van Steenbergevoor Brouwerij Paeleman
Dubbel Buitenlust,8.500000,De ProefBrouwerij
Dubbel Klok,8.500000,Brouwerij Boelens
Ducassis,3.000000,Brouwerij des Légendes
Duchesse deBourgogne,6.200000,Brouwerij Verhaeghe Vichte
Duivels Bier,8.000000,Brouwerij Boon
Dulle Griet,6.500000,De ScheldeBrouwerij
Dulle Teve,10.000000,De Dolle Brouwers
Duvel,8.500000,Brouwerij Duvel Moortgat
DuvelTripel Hop,9.500000,Brouwerij Duvel Moortgat
Durboyse blond,6.500000,Brasserie Lefebre
Durboyse brune,6.000000,Brasserie Lefebre
Durboyse tripel,8.000000,Brasserie Lefebre
Dwarskop,7.000000, Brouwerij ‘t Paynhuys
Echt Kriekenbier,6.800000,Brouwerij Verhaeghe
Echte Kriek,6.800000,Brouwerij Verhaeghe
Edel-Brau,0.300000,Brouwerij Strubbe
Eerwaarde Pater,9.000000,Brouwerij Het Alternatiefbij Brouwerij De Graal of Brouwerij Alvinne
Eeuwige Liefde,8.200000,Brouwerij DijkWaert
Egmont,6.500000,Brouwerij Strubbe voorBrouwerij Crombé
Egotripel,6.500000,Brouwerij Groenendael
Egotripel Dark,7.100000,Brouwerij Groenendael
Elliot Brew,9.000000,De Struise Brouwers bij Brouwerij Deca
El Toro,6.500000,Brouwerij Contreras
Embrasse,9.000000,Brouwerij De Dochter van deKorenaar
Embrasse SpecialEdition,9.000000,Brouwerij De Dochter van deKorenaar
Ename Blond,6.500000,Brouwerij Roman
Ename Dubbel,6.500000,Brouwerij Roman
Ename Tripel,8.500000,Brouwerij Roman
Ename Cuvée 974,7.000000,Brouwerij Roman
Enfant Terriple,8.200000,Brouwerij De Leite
Enghien Noël,9.000000,Brouwerij de Silly
EstaminetPremium Pils,5.200000,Brouwerij Palm
Equinox,8.000000,Brouwerij De Ranke voorBrouwerij de la Senne
Eupener Bier,5.200000,Brouwerij Haacht
Export 8,4.700000,Brouwerij Haacht
EzelBruin,6.500000,Brouwerij Bavik
EzelWit,5.800000,Brouwerij Bavik
Fancy,0.500000,Brouwerij Bavik
Fantôme,8.000000,Brouwerij Fantôme
Fantôme Chocolat,8.000000,Brouwerij Fantôme
Fantôme SpécialeNoel,8.000000,Brouwerij Fantôme
Faro Boon,4.000000,Brouwerij Boon
Faro Girardin,5.000000,Brouwerij Girardin
Faro LambicLindemans,4.500000,Brouwerij Lindemans
Faro Perte Totale,5.000000,Brouwerij Boon
Fasso Blond,6.500000,Brouwerij Vissenaken
Felix Kriek OudBruin,6.000000,Brouwerij Verhaeghe voorBrouwerij Clarysse (bierfirma)
Felix Kriekbier,5.200000,Brouwerij Verhaeghe voorBrouwerij Clarysse (bierfirma)
Felix Oud Bruin,5.200000,Brouwerij Verhaeghe voorBrouwerij Clarysse (bierfirma)
Felix SpeciaalOudenaards,4.600000,Brouwerij Verhaeghe voorBrouwerij Clarysse (bierfirma)
Femme Fatale,6.500000,Brouwerij De Leite
Ferme Framboos,8.000000,Brouwerij De Vlier
Finesse,8.500000,Brouwerij De Dochter van deKorenaar
First Angel,8.000000,Brouwerij Eutropius
Flandrien,7.000000,Brouwerij Louwaege
Flodder,8.000000,De ProefBrouwerij voor bierfirmaVALOCCO
Floreffe Blond,6.300000,Brouwerij Lefebvre
Floreffe Dubbel,6.300000,Brouwerij Lefebvre
Floreffe PrimaMelior,8.000000,Brouwerij Lefebvre
Floreffe Tripel,7.500000,Brouwerij Lefebvre
Floreffe Wit-Bier,4.500000,Brouwerij Lefebvre
Florilège dePensée,9.000000,Brouwerij d’Ecaussinnes
Florilège de Rose,9.000000,Brouwerij d’Ecaussinnes
Florilège deSureau,9.000000,Brouwerij d’Ecaussinnes
Florilèged’Hibiscus,9.000000,Brouwerij d’Ecaussinnes
Floris Cactus,4.200000,Brouwerij Huyghe
Floris Chocolat,4.200000,Brouwerij Huyghe
Floris Fraise,3.600000,Brouwerij Huyghe
Floris Framboise,3.700000,Brouwerij Huyghe
Floris Griotte,3.000000,Brouwerij Huyghe
Floris Honey,4.500000,Brouwerij Huyghe
Floris Kriek,3.600000,Brouwerij Huyghe
Floris Mango,3.600000,Brouwerij Huyghe
Floris Ninkeberry,3.600000,Brouwerij Huyghe
Floris Passion,3.600000,Brouwerij Huyghe
Floris Pear,3.500000,Brouwerij Huyghe
Floris Pomme /Apple,3.500000,Brouwerij Huyghe
Floris Witbier,5.000000,Brouwerij Huyghe
Florival Blond,7.000000,Affligem Brouwerij (Brouwerij DeSmedt)
Florival Bruin,7.000000,Affligem Brouwerij
Florival Tripel,8.500000,Affligem Brouwerij
Florival Winter,9.000000,Affligem Brouwerij
Foewerbier,7.000000,Brouwerij Kerkom
ForestinneAmbrosia,7.500000,Brouwerij Caracole
ForestinneGothika,7.500000,Brouwerij Caracole
ForestinneMysteria,7.500000,Brouwerij Caracole
ForestinneNordika,7.500000,Brouwerij Caracole
ForestinnePrimoria,7.500000,Brouwerij Caracole
Fort Lapin 8,8.000000,Brouwerij Fort Lapin
Framboise Boon,6.000000,Brouwerij Boon
FramboiseGirardin,5.000000,Brouwerij Girardin
FramboiseLindemans,2.500000,Brouwerij Lindemans
Framboise MaxJacobins,3.000000,Brouwerij Bockor
Framboise OudBeersel,5.000000,Brouwerij Oud Beersel
Frasnoise Givrée,6.300000,Brouwerij La Frasnoise
Frasnoise Rétro,6.300000,Brouwerij La Frasnoise
Freaky,3.800000,Brouwerij Alvinne
Freaky Dark,3.800000,Brouwerij Alvinne
Fruitig Bierreke,8.200000,Brouwerij DijkWaert
Gageleer,7.500000,De ProefBrouwerij
Gaspar,8.000000,Brouwerij Alvinne
Gauloise Ambrée,5.500000,Brouwerij Du Bocq
Gauloise Blonde,6.300000,Brouwerij Du Bocq
Gauloise Brune,8.100000,Brouwerij Du Bocq
Gauloise Red,8.200000,Brouwerij Du Bocq
GauloiseChristmas,8.100000,Brouwerij Du Bocq
Gentse Strop,6.900000,Brouwerij Roman
Gentse Tripel,8.000000,Brouwerij Van Steenberge
Gertrude Ambrée,6.000000,Brouwerij de Bouillon
Gertrude Triple,7.500000,De ProefBrouwerij
Geuze Cantillon100% Lambic Bio,5.000000,Brouwerij Cantillon
Gueuze Girardin,5.000000,Brouwerij Girardin
Gueuze Girardingefilterd,5.000000,Brouwerij Girardin
Geuze Jacobins,5.500000,Brouwerij Bockor
Geuze Lindemans,5.500000,Brouwerij Lindemans
Geuze MariageParfait,8.000000,Brouwerij Boon
Ghulden Cop,6.000000,Brouwerij De Graal
GiesbaargsMuurken,7.000000,De ProefBrouwerij
Gigi speciale,2.500000,Brouwerij Gigi
Gildenbier,7.000000,Brouwerij Haacht
Ginder Ale,5.100000,InBev
Glutaner,5.200000,Brouwerij Huyghe
Goeie Koffe,9.500000,Brouwerij DijkWaert
Goliath Blonde,5.500000,Brouwerij des Légendes
Goliath Triple,9.000000,Brouwerij des Légendes
Golden Kenia,5.100000,Brouwerij Huyghe
Golding Campina,4.800000,Alken-Maes (Heineken)
Gold Pils,5.000000,Brouwerij Bavik
Gordon FinestChrome,10.500000,Group John Martin
Gordon FinestCopper,6.600000,Group John Martin
Gordon FinestGold,10.000000,Group John Martin
Gordon FinestPlatinum,12.000000,Group John Martin
Gordon Finest Red,8.400000,Group John Martin
Gordon FinestScotch,8.600000,Group John Martin
Gordon FinestSilver,7.700000,Group John Martin
Gordon FinestZero,0.000000,Group John Martin
Gordon Five,5.000000,Group John Martin
Gordon Xmas,8.800000,Brouwerij Palm voor GroupJohn Martin
Goud Vuur,9.000000,Brouwerij DijkWaert
Gouden Arend 125,8.500000,Brouwerij De Ryck
Gouden CarolusAmbrio,8.000000,Brouwerij Het Anker
Gouden CarolusChristmas,10.500000,Brouwerij Het Anker
Gouden CarolusClassic,8.500000,Brouwerij Het Anker
Gouden CarolusEaster,10.000000,Brouwerij Het Anker
Gouden CarolusHopsinjoor,8.000000,Brouwerij Het Anker
Gouden CarolusTripel,9.000000,Brouwerij Het Anker
Gouden PierKloeffe,8.100000,De ProefBrouwerij voor BrouwerijSlaapmutske
GouyasseTradition,6.000000,Brouwerij des Géants
Gouyasse Triple,9.000000,Brouwerij des Géants
Grand CruBruocsella,5.000000,Brouwerij Cantillon
Green Buzz,6.000000,Brouwerij Millevertus
Grelotte,9.000000,Brouwerij Grain-d’Orge
Gribousine Blonde,8.500000,Brouwerij de Malonne
Gribousine Brune,8.000000,Brouwerij de Malonne
Gribousine Hiver,8.500000,Brouwerij de Malonne
Griboval,6.500000,Brouwerij Van Den Bosschevoor Scouts Moen 50 jaar (2011)
Grimbergen Blond,6.700000,Alken-Maes (Heineken – Carlsberg)
Grimbergen Cuvéede l’Ermitage,7.500000,Alken-Maes (Heineken – Carlsberg)
Grimbergen Dubbel,6.500000,Alken-Maes (Heineken – Carlsberg)
Grimbergen Goud 8°,8.000000,Alken-Maes (Heineken – Carlsberg)
Grimbergen Optimo Bruno,10.000000,Alken-Maes (Heineken – Carlsberg)
Grimbergen Selection,7.000000,Alken-Maes (Heineken – Carlsberg)
Grimbergen Tripel,9.000000,Alken-Maes (Heineken – Carlsberg)
Grimbergen Winter,6.500000,Alken-Maes (Heineken – Carlsberg)
Grisette Ambrée,5.000000,Brouwerij St-Feuillien
Grisette Blanche,5.000000,Brouwerij St-Feuillien
Grisette Blonde,4.500000,Brouwerij St-Feuillien
Grisette Cérise,3.500000,Brouwerij St-Feuillien
Grisette CountryCool,3.500000,Brouwerij St-Feuillien
Grisette Fruitsdes Bois,3.500000,Brouwerij St-Feuillien
Grotten FlemishAle,7.700000,Brouwerij St-Bernardus
Grottenbier,6.500000,Brouwerij St-Bernardus
Gruut Amber,6.600000,Brouwerij Gruut
Gruut Blond,5.500000,Brouwerij Gruut
Gruut Bruin,8.000000,Brouwerij Gruut
Gruut Inferno,9.000000,Brouwerij Gruut
Gruut Wit,5.000000,Brouwerij Gruut
Guido,8.000000,Brouwerij De Regenboog
Gulden Delle,8.500000,Brouwerij De Vlier
Gulden Draak,10.500000,Brouwerij Van Steenberge
Gulden Draak 9000 Quadruple,10.500000,Brouwerij Van Steenberge
Guldenberg,8.500000,Brouwerij De Ranke
Gypsy Rose,9.000000,Brouwerij Sainte-Hélène
Haanse Witte,5.500000,Brouwerij Strubbe voor denHaene
Halleschelle,8.500000,Brouwerij Alvinne
Hanssens LambicExperimental Cassis,4.000000,Brouwerij Hanssens
Hanssens LambicExperimental Raspberry,4.000000,Brouwerij Hanssens
Hapkin,8.500000,Alken-Maes (Heineken)
Harelbekenaarvan de abdijhoeve,6.000000,Brouwerij Van Eecke
Havane Nocturne,10.000000,Brouwerij Beryllium Erbium
Hector,8.200000,Brouwerij De Graal
Heksemiebier,6.200000,MicroBrouwerij Achilles
Hellekapelle,5.000000,Brouwerij De Bie
Helleketelbier,7.000000,Brouwerij De Bie
Hercule Stout,9.000000,Brouwerij des Légendes
Herkenrode Bruin,7.000000,Brouwerij Sint-Jozef
Herkenrode Tripel,7.000000,Brouwerij Sint-Jozef
Hertalse Poorter,6.500000,Brouwerij Slaghmuylder
Hertenheer,6.500000,ScheldeBrouwerij voor Brouwerij HetNest
Hervoise,8.200000,Brouwerij Grain d’Orge
Hik Blond,6.500000,Brouwerij Het Alternatiefbij Brouwerij De Graal
Hik Bruin,6.500000,Brouwerij Het Alternatiefbij Brouwerij De Graal
Himelein,6.000000,Brouwerij Vissenaken
Hoegaarden,4.900000,Brouwerij De Kluis (InBev)
Hoegaarden Citron,3.000000,Brouwerij De Kluis (InBev)
Hoegaarden GrandCru,8.500000,Brouwerij De Kluis (InBev)
Hoegaarden Rosée,3.000000,Brouwerij De Kluis (InBev)
HoegaardenSpéciale,5.700000,Brouwerij De Kluis (InBev)
HoegaardenVerboden Vrucht,8.800000,Brouwerij De Kluis (InBev)
Hof Korvatunturi,11.000000,t HofBrouwerijke
Hof ten DormaalAmber,7.500000,Brouwerij Hof ten Dormaal
Hof ten DormaalBlond,8.000000,Brouwerij Hof ten Dormaal
Hof ten DormaalDonker,8.500000,Brouwerij Hof ten Dormaal
Hofblues,5.500000,t HofBrouwerijke
Hofdraak,6.500000,t HofBrouwerijke
Hofelf,7.500000,t HofBrouwerijke
Hofnar,9.000000,t HofBrouwerijke
Hofpint,5.500000,t HofBrouwerijke
Hoftrol,6.200000,t HofBrouwerijke
Holger,5.000000,Brouwerij Martens
HolsbeekLentetripel,8.500000,Brouwerij De Vlier
Hommelbier,7.500000,Brouwerij Van Eecke
Hop Harvest,8.000000,Brouwerij De Ranke
Hop Ruiter,8.000000,ScheldeBrouwerij
HopjuttersTriple Hop,7.300000,Brouwerij De Graal voor DeHopjutters
Hoppa Hontas,6.500000,Brouwerij Maenhout
Hoppe,5.000000,Brouwerij Van Steenberge
Hoppesnoet,8.500000,Brouwerij Den Tseut
Hopus,8.300000,Brouwerij Lefebvre
Hopverdomme,7.500000,De Struise Brouwers
Horse Ale,4.500000,Inbev Belgium
Horst bier,6.500000,Brouwerij Haacht
Hotteuse GrandCru,8.000000,Affligem Brouwerij
Houblon ChouffeDobbelen IPA Tripel,9.000000,Brouwerij d’Achouffe(Duvel-Moortgat)
Hougaerdse Das,5.100000,Brouwerij De Kluis (InBev)
Houten Kop,6.500000,Brouwerij Strubbe
Huardis,5.200000,Brouwerij Nieuwhuys
Ichtegem’s grandcru,6.500000,Brouwerij Strubbe
Ichtegem’s OudBruin,5.000000,Brouwerij Strubbe
Ignis &Flamma,7.000000,De Struise Brouwers bij Brouwerij Deca
IPA,7.900000,Brouwerij Strubbe
Iris,6.000000,Brouwerij Cantillon
Irma,6.000000,voor bierfirma Vacas
Itters Bruin,1.300000,Brouwerij Sint-Jozef
Jack’Ouille,5.500000,Brouwerij de Bouillon
Jack-Op,5.500000,Brouwerij Boon
Jaded StillwaterArtisanal,10.000000,De Struise Brouwers bij Brouwerij Deca
Jambe-de-bois,8.000000,Brouwerij De Ranke voorBrouwerij de la Senne
Jan Buuc,7.500000,Brouwerij Het Sas
Jan De Lichte,7.000000,Brouwerij De Glazen Toren
Jan van Gent,5.500000,Brouwerij Liefmans
Jan vanOudenaarde,8.000000,Brouwerij Slaapmutske
Je Brûle De Désir,6.500000,Brouwerij Beryllium Erbium
Jean Nicot,8.500000,Brouwerij De Graal
Jeanke,NaN,Brouwerij St. Jean
Jessenhofke Bruin,7.000000,De ProefBrouwerij voor BrouwerijJessenhofke
Jessenhofke Maya,6.000000,De ProefBrouwerij voor BrouwerijJessenhofke
JessenhofkeTripel,8.000000,De ProefBrouwerij voor BrouwerijJessenhofke
Jezuwiet,8.500000,Brouwerij Boelens
JOB,6.000000,Brouwerij De Kroon
Johannes,6.500000,Brouwerij De Graal voorbierfirma Johannes
Joseph,5.400000,Brouwerij de Silenrieux
Joseph Bio,5.400000,Brouwerij de Silenrieux
Joup,7.500000,Brouwerij Grain d’Orge
Julius,8.700000,Brouwerij De Kluis (InBev)
Judas,8.500000,Alken-Maes (Heineken)
Jules de Bananes,4.900000,Brouwerij De Ryck
Jules de Kriek,4.900000,Brouwerij De Ryck
Jupiler,5.200000,Brouwerij Piedbœuf
Jupiler Blue,3.300000,Brouwerij Piedbœuf (InBev)
Jupiler NA,0.500000,Brouwerij Piedbœuf (InBev)
Jupiler New Tauro,6.200000,Inbev
Jupiler Tauro,8.300000,Inbev
Kalle,8.000000,Brouwerij Gulden Spoor
Kameleon Amber,6.500000,Brouwerij Den Hopperd
Kameleon Donker,6.000000,Brouwerij Den Hopperd
Kameleon Ginseng,6.500000,Brouwerij Den Hopperd
Kamil,6.500000,De ProefBrouwerij voor bierfirma BVG
Kameleon Tripel,8.500000,Brouwerij Den Hopperd
Kapel van VivenBlond,6.800000,De ProefBrouwerij voorBeerdevelopment Viven
Kapel van VivenBruin,6.600000,De ProefBrouwerij voorBeerdevelopment Viven
Kapittel Abt,10.000000,Brouwerij Van Eecke
Kapittel Blond,6.500000,Brouwerij Van Eecke
Kapittel Dubbel,7.500000,Brouwerij Van Eecke
Kapittel Pater,6.000000,Brouwerij Van Eecke
Kapittel Prior,9.000000,Brouwerij Van Eecke
Kapittel TripelAbt,10.000000,Brouwerij Van Eecke
Karlsquell,4.600000,Brouwerij Martens
Kastaar,6.000000,Brouwerij De Block
Kasteel Blond,7.000000,Brouwerij Van Honsebrouck
Kasteel Cuvée duChateau,11.000000,Brouwerij Van Honsebrouck
Kasteel Donker,11.000000,Brouwerij Van Honsebrouck
Kasteel Rouge,8.000000,Brouwerij Van Honsebrouck
Kasteel Tripel,11.000000,Brouwerij Van Honsebrouck
Kasteel van Staden blond,8.000000,Brouwerij DECA
Kasteel van Staden bruin,6.500000,Brouwerij DECA
Kasteelbier Blond,11.000000,Brouwerij Van Honsebrouck
Kasteelbier Bruin,11.000000,Brouwerij Van Honsebrouck
KasteelbierOoidonk,11.000000,Brouwerij Van Honsebrouck
Kastel,7.000000,De ProefBrouwerij in opdracht van DeKastelse Biervereniging
Kastelspompoenbier,NaN,De ProefBrouwerij in opdracht van DeKastelse Biervereniging
Katje Special,6.000000,Brouwerij Het Sas
KD,6.200000,Brouwerij Kadee
Keikop donker,NaN,Brouwerij de Kassei
Keikop saison,6.500000,Brouwerij de Kassei
Keikop tripel,8.700000,Brouwerij de Kassei
Keikoppenbier,6.100000,Brouwerij De Plukker
Keizer KarelRobijn Rood,8.500000,Brouwerij Haacht
Keizer KarelGoud Blond,8.500000,Brouwerij Haacht
Keizersberg,9.000000,Brouwerij Van Steenberge
Kempisch Vuur3-Dubbel,7.500000,De ProefBrouwerij in opdracht vanBrouwerij Pirlot
Kempisch VuurTripel,7.500000,De ProefBrouwerij in opdracht vanBrouwerij Pirlot
Kerasus,5.500000,Brouwerij Alvinne
Kerelsbier Donker,6.400000,Brouwerij Het Sas
Kerelsbier Licht,6.400000,Brouwerij Het Sas
Kerkomse Tripel,9.000000,Brouwerij Kerkom bijBrouwerij Sint-Jozef
Kerstpater,9.000000,Brouwerij Van Den Bossche
Kerstbie,8.000000,Brouwerij De Bie
KerstSmiske,11.000000,Brouwerij Smisje
Kerstvuur,8.000000,De ProefBrouwerij voor BrouwerijPirlot
Kessel 69,6.900000,Brouwerij De Vlier
Kessel Blond,7.500000,Brouwerij De Vlier
Keyte,7.500000,Brouwerij Strubbe
Keyte-Dobbel-Tripel,9.200000,Brouwerij Strubbe
Kleveretien,10.000000,De ScheldeBrouwerij voor BrouwerijHet Nest
Klingse Kalsei,8.000000,Brouwerij Van Steenberge
Kloeke Blonde,6.000000,De Struise Brouwers
Klokke Roeland,12.000000,Brouwerij Van Steenberge
Klooster vanViven,6.600000,De ProefBrouwerij voorBeerdevelopment Viven
Koantjesbier,7.000000,De ProefBrouwerij voor Bierfirma Vacas
Koddestamper Cuvee Fumee,9.500000,Het Brouwersatelier
Koddestamper Special Blond,6.500000,Het Brouwersatelier
Koddestamper Tripel,9.000000,Het Brouwersatelier
Koekelaring,6.500000,Brouwerij De Graal voor DeHoevebrouwers
Koeketiene,8.500000,Brouwerij Maenhout
Koerseklakske,5.500000,Brouwerij ‘t Gaverhopke
Korsakoff,6.500000,t HofBrouwerijke
Kortrijk-d’Utsel,8.500000,Brouwerij Kortrijk-d’Utsel
Kriek Belgique,3.500000,Brouwerij du Bocq
Kriek Boon,4.500000,Brouwerij Boon
Kriek Cantillon100% Lambic,5.500000,Brouwerij Cantillon
Kriek De Ranke,4.500000,Brouwerij De Ranke
Kriek deSilenrieux,4.500000,Brouwerij de Silenrieux
Kriek Fantastiek,4.900000,Brouwerij De Ryck
Kriek Girardin,5.000000,Brouwerij Girardin
Kriek Jacobins,4.500000,Brouwerij Bockor
Kriek Lindemans,3.500000,Brouwerij Lindemans
Kriek MariageParfait,8.000000,Brouwerij Boon
Kriekedebie,4.400000,Brouwerij De Bie
Kriekenbier,4.000000,Brouwerij Sint-Jozef
Kriekenbier,4.500000,Brouwerij Strubbe
Kriek Max,3.200000,Brouwerij Bockor
Kwaremont,6.600000,Brouwerij Bavik
Kwets,6.800000,Brouwerij De Graal voorMicroBrouwerij Paeleman in opdracht van Kwets vzw
Kwibus Blond,6.400000,Brouwerij Danny
Kwibus Donker,6.400000,Brouwerij Danny
L’Apogée,6.000000, Full Time Hops
La Barbiot Ambrée,9.500000,Brouwerij la Barbiot
